values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
automatic braking,,,,Transmission,POWERTRAIN_PERFORMANCE,Driver Assistance,TECHNOLOGY_INFOTAINMENT,brake
race,,,,Other,,Other,,
steering sport,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
A5,,,,Other,,Other,,
corner comfort mode,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
door handles,,,,Other,,Body & Exterior,,Doors
space,,,,Other,,Other,,passenger space - space
grill,,,,Other,,Other,,
drive mode,,,,Other,,Other,,
diesel version,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
downshifts,,,,Other,,Other,,transmission
hooks,,,,Other,,Other,,boot_cargo
camber dirt road,,,,Other,,Other,,Road Terrain
Audi G5,,,,Other,,Other,,Generic Car Terms
price point feature,,,,Other,,Other,,Road Terrain
back seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
travelling,,,,Other,,Other,,
gestures,,Infotainment Software & Interaction,Technology,Other,,Other,,Gesture / Motion Controls
glass elements on gear selector,,,,Other,,Transmission & Drivetrain,,transmission
delivering,,,,Other,,Other,,
digital key,,Connectivity & Integration,Technology,Other,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
middle seat legroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
speeds,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
rev counter,,,,Other,,Other,,engine/ power train
proposition,,,,Other,,Other,,
pedals,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
sophistication,,,,Other,,Other,,
V8 engine drive,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
climate control knobs,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Physical Controls
interior fit and finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
on track performance,,,,Other,,Other,,Road Terrain
BMW,,,,Other,,Other,,Generic Car Terms
Audi presence,,,,Other,,Other,,Generic Car Terms
section,,,,Other,,Other,,
instrument cluster,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
head rest,,,,Other,,Other,,
center armrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
cabin noise,,,,Other,,Other,,
fold third row,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Other,,
wider items,,,,Other,,Other,,
opening bonnet,,,,Other,,Body & Exterior,,
Visibility,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
upgraded all round air suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
counter,,,,Other,,Other,,
front headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
wheel arch intrusion,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
engine start button,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
M6 port,,,,Other,,Other,,
behaving,,,,Other,,Other,,
doors open,,,,Other,,Body & Exterior,,Doors
condition,,,,Other,,Other,,
hood vent,,,,Other,,Body & Exterior,,
handling balance,,,,Other,,Handling & Dynamics,,
upgraded professional satnav,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Navigation / Mapping
trip,,,,Other,,Other,,
utility,,,,Other,,Other,,Storage & Utility
fourth gear,,,,Other,,Other,,transmission
drive train,,,,Other,,Transmission & Drivetrain,,
cervix fittings,,,,Other,,Other,,
GT three operating window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
construction technique,,,,Other,,Other,,Software / Interaction
key,,,,Other,,Other,,
few pieces of plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
technologies,,,,Other,,Other,,Software / Interaction
window switches,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Physical Controls
Driver assistant Pack,,,,Other,,Other,,Driver_Assistance
track days,,,,Other,,Other,,Road Terrain
car tire pot,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
runs,,,,Other,,Other,,
seat belts,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
touring headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - touring headroom
armrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
customization,,,,Other,,Other,,
BMW 360 degree surround camera,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Cameras
front wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
dynamic driving mode,,,,Other,,Handling & Dynamics,,
all wheel drive,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Wheels & Tyres
absolutely acres of,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
exteriors,,,,Other,,Body & Exterior,,
chassis,,,,Other,,Other,,
general qualities,,,,Other,,Other,,
load cover,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
swerve control,,,,Other,,Other,,
lumbar support,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
steering mode,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
driver satisfaction,,,,Other,,Other,,
gap in the back,,,,Other,,Other,,
cubby,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
snow storm,,,,Other,,Other,,Road Terrain
adaptive M6 port suspension comfort model,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
underfloor storage,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
new battery pack,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
summer tires,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
front seats sound,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
weight distribution,,,,Other,,Other,,
petrol engine running,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
electric adjustment (steering),,,,Handling,POWERTRAIN_PERFORMANCE,Engine & Performance,,steering
dynamic gearbox shift,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
RS5 color,,,,Other,,Body & Exterior,,Generic Car Terms
advantages,,,,Other,,Other,,
remote features,,,,Other,,Other,,Driver_Assistance
pricier versions,,,,Other,,Other,,
Tyrell,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
car seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
miles,,,,Other,,Other,,
led lights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
looks,,,,Other,,Other,,
engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
windshield  intensity,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Windscreen / Wipers
drive train technology,,,,Other,,Transmission & Drivetrain,,Software / Interaction
Mercedes-Benz,,,,Other,,Other,,Generic Car Terms
back side headspace,,,,Other,,Other,,passenger space - back side headspace
premium plus trim level,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
performance level,,,,Other,,Other,,
SL,,,,Other,,Other,,
back head room,,,,Other,,Other,,
counter drive,,,,Other,,Other,,
power folding,,,,Other,,Other,,engine/ power train
clutch,,,,Other,,Other,,
knee rooms,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - knee rooms
Footroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - Footroom
tail light color,,,,Other,,Body & Exterior,,
carplay,,,,Other,,Other,,Connectivity / Integration
cup holder,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
general goodness,,,,Other,,Other,,
underfloor compartment,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
force,,,,Other,,Other,,
brake discs,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
twisty road,,,,Other,,Other,,Road Terrain
-,,,,Other,,Other,,
split tailgate,,,,Other,,Other,,
hybrid technology,,,,Other,,Engine & Performance,,Software / Interaction
fold down seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
boot size,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
cables,,,,Other,,Other,,
plastic head,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
legs,,,,Other,,Other,,
front end,,,,Other,,Body & Exterior,,
steering buttons,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
hybrid engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
handling,,,,Other,,Handling & Dynamics,,
nays,,,,Other,,Other,,
circular dial,,,,Other,,Other,,
dynamic exhaust,,,,Other,,Handling & Dynamics,,
height,,,,Other,,Other,,
front brakes discs,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
work tables,,,,Other,,Other,,
adjustable side bolsters,,,,Other,,Other,,
chassis braces,,,,Other,,Other,,
interior experience,,,,Other,,Other,,
small bump,,,,Other,,Other,,Road Terrain
door tops,,,,Other,,Body & Exterior,,Doors
Stop Start system,,,,Other,,Other,,brake
Automatic canister,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
boot features,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
suspension(sport),,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
only apple carplay,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
seatbelt adjustment,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
plenty of things,,,,Other,,Other,,
iPod connector to stereo,,,,Other,,Other,,audio
backup camera,,,,Other,,Miscellaneous Features,,Cameras
shifting,,,,Other,,Other,,transmission
Audi interface,,,,Other,,Infotainment & Display,,Generic Car Terms
exterior styling,,,,Other,,Body & Exterior,,
picking the route,,,,Other,,Other,,
interior trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
Q5,,,,Other,,Other,,
sit up,,,,Other,,Other,,
A7 price,,,,Other,,Other,,Road Terrain
feel behind the steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
wireless charging,,Connectivity & Integration,Technology,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
front area,,,,Other,,Other,,
knee airbag,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Airbags & Crash Protection,SAFETY_DRIVER_ASSISTANCE,Safety
petrol models,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
S3,,,,Other,,Other,,Generic Car Terms
new X3,,,,Other,,Other,,
loading things,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
weight balance,,,,Other,,Handling & Dynamics,,
fit,,,,Other,,Other,,
middle section,,,,Other,,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - middle section
competion choices,,,,Other,,Other,,Road Terrain
touring body,,,,Other,,Body & Exterior,,
menu,,,,Other,,Other,,
center arm rest,,,,Other,,Miscellaneous Features,,seats
full multi beam led headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
focus,,,,Other,,Other,,
storage drawer,,,,Storage,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
locks,,,,Other,,Other,,
Volvo XC60 drive,,,,Other,,Other,,Generic Car Terms
purple ambient lighting,,,,Lighting,EXTERIOR_LIGHTING,Comfort Features,INTERIOR_SPACE_COMFORT,lighting
comfort mode,,,,Other,,Other,,
rear view camera,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
drive settings,,,,Other,,Other,,Software / Interaction
four wheel drive system,,,,Wheels & Tires,EXTERIOR_LIGHTING,Transmission & Drivetrain,,Wheels & Tyres
Rev Counter,,,,Other,,Other,,engine/ power train
GT -R,,,,Other,,Other,,Generic Car Terms
entertainment display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
300D power,,,,Other,,Other,,engine/ power train
road around bends,,,,Other,,Other,,Road Terrain
surround view camera system,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Cameras
seat sliding forward,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
character lines,,,,Other,,Other,,
nets,,,,Other,,Other,,
gearshift modifications,,,,Other,,Other,,transmission
wheel design,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
audi virtual cockpit,,,,Other,,Other,,Displays / Instrumentation
sports steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
offroad travel,,,,Other,,Other,,Road Terrain
front drive shafts,,,,Other,,Other,,
get in the car,,,,Other,,Other,,Doors
manoeuvring at low speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
electronic system,,,,Other,,Other,,
dynamic engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
foot and leg rest,,,,Other,,Other,,
steering and lane controlled assistant,,,,Handling,POWERTRAIN_PERFORMANCE,Driver Assistance,TECHNOLOGY_INFOTAINMENT,steering
ventilation controls,,,,Other,,Other,,
equipment level,,,,Other,,Other,,
pedal,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
seat packets,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
power dependability,,,,Other,,Other,,engine/ power train
screen for air conditioning,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
sounds,,,,Other,,Other,,audio
S8,,,,Other,,Other,,Generic Car Terms
station wagon,,,,Other,,Other,,
side blades,,,,Other,,Body & Exterior,,
GI .A.,,,,Other,,Other,,
slow speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
low speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
riding,,,,Other,,Other,,
sound,,,,Other,,Other,,
drive everyday,,,,Other,,Other,,
Body shell,,,,Other,,Body & Exterior,,
belt line,,,,Other,,Other,,
fidget,,,,Other,,Other,,
driver distraction,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
foot room,,,,Other,,Other,,
backseat headroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
bay,,,,Other,,Other,,
automatic performance,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
steering weight,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
instrument gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
s class driving experience,,,,Other,,Other,,
Mercedes-Benz star,,,,Other,,Other,,Generic Car Terms
buy,,,,Other,,Other,,
direction change,,,,Other,,Other,,
area,,,,Other,,Other,,
reading light,,,,Other,,Other,,
heat pump,,,,Other,,Other,,
get in,,,,Other,,Other,,Doors
children,,,,Other,,Other,,
front tires,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
steering ratio,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
knee room,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - knee room
optional heads up displays,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
folding mirrors,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
seat cover,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
anti jacking,,,,Other,,Other,,Safety
windscreen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
emission,,,,Other,,Other,,
fridge,,,,Other,,Other,,
rest of the finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
door bin front,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
tailgate opening,,,,Other,,Other,,boot_cargo
back tire,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
slide,,,,Other,,Other,,
front two seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
platform base,,,,Other,,Other,,
luxury package,,,,Other,,Other,,
display unit,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
power uplift,,,,Other,,Other,,engine/ power train
entry,,,,Other,,Other,,
3 series,,,,Other,,Other,,Generic Car Terms
bottom,,,,Other,,Other,,
six speed manual,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
options,,,,Other,,Other,,Software / Interaction
minimalism,,,,Other,,Other,,
comfort mode ride,,,,Other,,Comfort Features,INTERIOR_SPACE_COMFORT,
R8,,,,Other,,Other,,Generic Car Terms
dampers,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Suspension
s c suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
mountain road,,,,Other,,Other,,Road Terrain
underneath coating,,,,Other,,Other,,
air curtains,,,,Other,,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
running costs,,,,Other,,Other,,Value / Cost
overhangs,,,,Other,,Other,,
current style,,,,Other,,Other,,
comfort,,,,Other,,Other,,
boxes,,,,Other,,Other,,boot_cargo
ambient lighting,,,,Lighting,EXTERIOR_LIGHTING,Comfort Features,INTERIOR_SPACE_COMFORT,lighting
spoiler,,,,Other,,Body & Exterior,,
back room,,,,Other,,Other,,
two litre TF Excitable petrol,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
feet adjustment,,,,Other,,Other,,
S Tronic ,,,,Other,,Transmission & Drivetrain,,Generic Car Terms
mirror cover,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
adaptive dampers,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Suspension
front descreasing bottom,,,,Other,,Other,,
sport mode,,,,Suspension,POWERTRAIN_PERFORMANCE,Other,,
graphic,,,,Other,,Other,,
fuel efficiency,,,,Other,,Other,,Fuel / Energy / Charging
spoon,,,,Other,,Other,,
central locking sound,,,,Other,,Other,,
ground clearance,,,,Other,,Other,,
modal,,,,Other,,Other,,
remote control,,,,Other,,Other,,
stitching,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
A4  G5 seating,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
playing music,,,,Other,,Other,,
BMW 3 40 I  engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
everything,,,,Other,,Other,,
R three,,,,Other,,Other,,Generic Car Terms
car,,,,Other,,Other,,
baby seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
bluetooth,,,,Other,,Connectivity,TECHNOLOGY_INFOTAINMENT,
contrast,,,,Other,,Other,,
headlight control,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
seatbelt butler,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
gear,,,,Other,,Other,,transmission
front trunk,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
central screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
suspension (dynamic mode),,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
field,,,,Other,,Other,,
carrying five once,,,,Other,,Other,,
normal comfort suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
dynamic,,,,Other,,Handling & Dynamics,,
suspension redesign,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
A6 back,,,,Other,,Other,,Generic Car Terms
engine sounds,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
design details,,,,Other,,Other,,
front track,,,,Other,,Other,,Road Terrain
corner balance,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
going faster,,,,Other,,Other,,
passenger,,,,Other,,Other,,
getting back,,,,Other,,Other,,
color,,,,Other,,Body & Exterior,,
view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
swiping zoom manoeuvres,,,,Other,,Other,,
lower bumper,,,,Other,,Body & Exterior,,Road Terrain
fuel budget,,,,Other,,Other,,Fuel / Energy / Charging
acceleration,,,,Other,,Handling & Dynamics,,Acceleration
crackles,,,,Other,,Other,,
sports model,,,,Other,,Other,,
going reverse,,,,Other,,Other,,
seal between the doors,,,,Other,,Body & Exterior,,Doors
tires,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
grip ,,,,Other,,Other,,
pose,,,,Other,,Other,,
steering precision,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
down the door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
exhaust layer,,,,Other,,Other,,
feel ,,,,Other,,Other,,
comfort adaptive,,,,Other,,Other,,
sitting,,,,Other,,Other,,
F40 5 a.m. G brakes,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
styling accents,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
going downhill,,,,Other,,Other,,Road Terrain
releases,,,,Other,,Other,,
carpeting,,,,Other,,Other,,
sports plus mode,,,,Other,,Other,,
19 inch wheels,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
prices,,,,Other,,Other,,Road Terrain
central locking,,,,Other,,Other,,
electric platform,,,,Other,,Other,,
start stop feature,,,,Other,,Engine & Performance,,brake
gesture control,,Infotainment Software & Interaction,Technology,Other,,Other,,Gesture / Motion Controls
boot capacity,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
swivel wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
front can,,,,Other,,Other,,
brightness,,,,Other,,Other,,lighting
room,,,,Other,,Other,,
differential,,,,Other,,Other,,
callipers,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,brake
manual gear change,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
roundabouts,,,,Other,,Other,,
ergonomics,,,,Other,,Other,,seats
TT cornering,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
sea level,,,,Other,,Other,,
red cable hybrid engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
sport plus mode,,,,Other,,Other,,
contouring,,,,Other,,Other,,
wax dropping from the door,,,,Other,,Body & Exterior,,Doors
mode switch,,,,Other,,Other,,
auxillary connectors,,,,Other,,Other,,Connectivity / Integration
Mercedes technology,,,,Other,,Other,,Software / Interaction
ingredients,,,,Other,,Other,,
modern startup technology,,,,Other,,Other,,Software / Interaction
Audi Tron,,,,Other,,Other,,Generic Car Terms
electrical system,,,,Other,,Other,,
satin finish line,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
tow hitch,,,,Other,,Other,,
braking feel,,,,Other,,Other,,brake
insulation,,,,Other,,Other,,
leg room,,,,Other,,Other,,
blind spot warning,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Safety
M5 competition,,,,Other,,Other,,Generic Car Terms
sensations,,,,Other,,Other,,
exhaust pipes,,,,Other,,Other,,
driving on bumps,,,,Other,,Other,,Road Terrain
shifter,,,,Other,,Other,,
result,,,,Other,,Other,,
keys,,,,Other,,Other,,
Mercedes A class,,,,Other,,Other,,Generic Car Terms
driving function,,,,Other,,Other,,
lower lip,,,,Other,,Other,,
length,,,,Other,,Other,,Generic Car Terms
RS5 quality,,,,Other,,Other,,Generic Car Terms
few bumps,,,,Other,,Other,,Road Terrain
energizing comfort control,,,,Other,,Other,,
road imperfections,,,,Other,,Other,,Road Terrain
exterior noise,,,,Other,,Body & Exterior,,
three adults in the back,,,,Other,,Other,,
down storage,,,,Other,,Other,,boot_cargo
load bay,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
carrying three abreast,,,,Other,,Other,,
body,,,,Other,,Body & Exterior,,
Audi S A3,,,,Other,,Other,,Generic Car Terms
boot,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
standard frame,,,,Other,,Other,,
shift button,,,,Other,,Other,,Physical Controls
going fast,,,,Other,,Other,,
upshifts,,,,Other,,Other,,transmission
