aspect,base_category,MAIN_CATEGORY
display screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
beam,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
seat backs,seats,INTERIOR / COMFORT / ERGONOMICS
handbrake,brake,HANDLING / DYNAMICS
counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sport steering,steering,HANDLING / DYNAMICS
mercedes-benz e class,model / generic car terms,GENERAL INFORMATION
minivan,body type,EXTERIOR / STYLING / DESIGN
center screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
gear change sound,transmission,POWERTRAIN / PERFORMANCE
performance exhaust,exhaust,POWERTRAIN / PERFORMANCE
children,passenger space,INTERIOR / COMFORT / ERGONOMICS
key less entry,doors,EXTERIOR / STYLING / DESIGN
steering ratio ride,steering,HANDLING / DYNAMICS
instrument cluster,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sports suspension,suspension,HANDLING / DYNAMICS
tire noise,audio,EMOTIONAL / SENSORY / VISUAL
shifts,transmission,POWERTRAIN / PERFORMANCE
corner balance,traction / stability,HANDLING / DYNAMICS
comfort ico plus,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
child seat,seats,INTERIOR / COMFORT / ERGONOMICS
sit,seats,INTERIOR / COMFORT / ERGONOMICS
side wall,side section,EXTERIOR / STYLING / DESIGN
pillar for leaning on window,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
power delivery,engine / power train,POWERTRAIN / PERFORMANCE
performance level,performance,POWERTRAIN / PERFORMANCE
stops,brake,HANDLING / DYNAMICS
back light bar,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
engine output,engine / power train,POWERTRAIN / PERFORMANCE
front seats,seats,INTERIOR / COMFORT / ERGONOMICS
gap,build quality / construction,STRUCTURAL
e400 twin turbo v six power,engine / power train,POWERTRAIN / PERFORMANCE
composure,driving dynamics / handling,HANDLING / DYNAMICS
electrical system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
dynamism,driving dynamics / handling,HANDLING / DYNAMICS
anti-roll bars,traction / stability,HANDLING / DYNAMICS
8 siris,model / generic car terms,GENERAL INFORMATION
right hand drive steering,steering,HANDLING / DYNAMICS
car storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
central screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
rain sensing windshield wiper,windscreen / wipers,SAFETY
design ethos,design,EMOTIONAL / SENSORY / VISUAL
front climbing and back,passenger space,INTERIOR / COMFORT / ERGONOMICS
manual gearbox,transmission,POWERTRAIN / PERFORMANCE
event,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
construction,build quality / construction,STRUCTURAL
electronic stability off,traction / stability,HANDLING / DYNAMICS
tail lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
panoramic moon,roof,EXTERIOR / STYLING / DESIGN
finishing,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
ionic range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
foot walls,seats,INTERIOR / COMFORT / ERGONOMICS
seat up,seats,INTERIOR / COMFORT / ERGONOMICS
mpg sports mode,driving dynamics / handling,HANDLING / DYNAMICS
packs,packages / trims / variants,GENERAL INFORMATION
spec,options & specifications,GENERAL INFORMATION
hatchback,body type,EXTERIOR / STYLING / DESIGN
persona,design,EMOTIONAL / SENSORY / VISUAL
sun visor,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
public charges,fuel / energy / charging,POWERTRAIN / PERFORMANCE
especially back,rear section,EXTERIOR / STYLING / DESIGN
centre of gravity,weight,DISTANCE / MEASUREMENT /  COST
gearshift,transmission,POWERTRAIN / PERFORMANCE
chairs,seats,INTERIOR / COMFORT / ERGONOMICS
camera angle,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
pockets in backseat,storage & utility,FUNCTIONAL / UTILITY FEATURES
f40 5 a.m. g brakes,brake,HANDLING / DYNAMICS
normal screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
performance power,engine / power train,POWERTRAIN / PERFORMANCE
weight distribution,weight,DISTANCE / MEASUREMENT /  COST
manual mode,transmission,POWERTRAIN / PERFORMANCE
back wheel,wheels & tyres,HANDLING / DYNAMICS
rear seat roadster,seats,INTERIOR / COMFORT / ERGONOMICS
hybrid model,fuel / energy / charging,POWERTRAIN / PERFORMANCE
back side seats,seats,INTERIOR / COMFORT / ERGONOMICS
car seat,seats,INTERIOR / COMFORT / ERGONOMICS
new three series,model / generic car terms,GENERAL INFORMATION
2.5 litre petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
battery upgrade,fuel / energy / charging,POWERTRAIN / PERFORMANCE
dry road,road terrain,HANDLING / DYNAMICS
setup,functionality & features,FUNCTIONAL / UTILITY FEATURES
a4 quatro,model / generic car terms,GENERAL INFORMATION
auto driving,drive,POWERTRAIN / PERFORMANCE
economy,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
load lifter,boot / cargo,FUNCTIONAL / UTILITY FEATURES
audi a5,model / generic car terms,GENERAL INFORMATION
new sl,model / generic car terms,GENERAL INFORMATION
base,chassis / structural,STRUCTURAL
back headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
interior sophistication,interior,INTERIOR / COMFORT / ERGONOMICS
auto mode,driving dynamics / handling,HANDLING / DYNAMICS
side,side section,EXTERIOR / STYLING / DESIGN
sporting events,functionality & features,FUNCTIONAL / UTILITY FEATURES
upgraded professional satnav,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
mercedes e class coupe a,model / generic car terms,GENERAL INFORMATION
format,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
back seat elongated bracket,seats,INTERIOR / COMFORT / ERGONOMICS
lifespan,value / cost,DISTANCE / MEASUREMENT /  COST
design,design,EMOTIONAL / SENSORY / VISUAL
upgraded satellite system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
s class,model / generic car terms,GENERAL INFORMATION
lines,design,EMOTIONAL / SENSORY / VISUAL
black stitching,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
second generation,packages / trims / variants,GENERAL INFORMATION
transmission tunnel,transmission,POWERTRAIN / PERFORMANCE
menu,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
electronics,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
sounds,audio,EMOTIONAL / SENSORY / VISUAL
magic vision control,visibility & view,SAFETY
automatic gearbox,transmission,POWERTRAIN / PERFORMANCE
dynamic sport mode,driving dynamics / handling,HANDLING / DYNAMICS
drive in narrow streets,drive,POWERTRAIN / PERFORMANCE
a5 sport back,model / generic car terms,GENERAL INFORMATION
front toe handle,physical controls,INTERIOR / COMFORT / ERGONOMICS
s three price,value / cost,DISTANCE / MEASUREMENT /  COST
pillar,chassis / structural,STRUCTURAL
newest s class price,value / cost,DISTANCE / MEASUREMENT /  COST
standard kit,options & specifications,GENERAL INFORMATION
set up,functionality & features,FUNCTIONAL / UTILITY FEATURES
climate control knobs,physical controls,INTERIOR / COMFORT / ERGONOMICS
wood grain,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
memory settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
bay,engine / power train,POWERTRAIN / PERFORMANCE
powerful,engine / power train,POWERTRAIN / PERFORMANCE
rapid charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
store,storage & utility,FUNCTIONAL / UTILITY FEATURES
android auto,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
visors,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
green screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
manual mode transmission,transmission,POWERTRAIN / PERFORMANCE
purchase,value / cost,DISTANCE / MEASUREMENT /  COST
insurance price,value / cost,DISTANCE / MEASUREMENT /  COST
socket,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
roof line,roof,EXTERIOR / STYLING / DESIGN
automatic braking,brake,HANDLING / DYNAMICS
numbers,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
carrying larger items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
stick shift,transmission,POWERTRAIN / PERFORMANCE
graphics card,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
bottom,chassis / structural,STRUCTURAL
driving mode,drive,POWERTRAIN / PERFORMANCE
button placement,physical controls,INTERIOR / COMFORT / ERGONOMICS
tailpipes,exhaust,POWERTRAIN / PERFORMANCE
power dependability,engine / power train,POWERTRAIN / PERFORMANCE
bmw entertainment system,audio,EMOTIONAL / SENSORY / VISUAL
headlining,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
sound system,audio,EMOTIONAL / SENSORY / VISUAL
footprint,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
performance drivability,driving dynamics / handling,HANDLING / DYNAMICS
ambient lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
current style,design,EMOTIONAL / SENSORY / VISUAL
corner acceleration,cornering,HANDLING / DYNAMICS
step up,value / cost,DISTANCE / MEASUREMENT /  COST
deck,boot / cargo,FUNCTIONAL / UTILITY FEATURES
f 30,model / generic car terms,GENERAL INFORMATION
automatic emergency breaking,brake,HANDLING / DYNAMICS
supportive gas struts,seats,INTERIOR / COMFORT / ERGONOMICS
seat pulling back,seats,INTERIOR / COMFORT / ERGONOMICS
shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
led lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
rs3,model / generic car terms,GENERAL INFORMATION
engine,engine / power train,POWERTRAIN / PERFORMANCE
wireless charging,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
winding mountain roads,road terrain,HANDLING / DYNAMICS
getting stuff in and out,boot / cargo,FUNCTIONAL / UTILITY FEATURES
digital drivers display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
petrol usage,fuel / energy / charging,POWERTRAIN / PERFORMANCE
linearity,acceleration,POWERTRAIN / PERFORMANCE
precision,driving dynamics / handling,HANDLING / DYNAMICS
s8,model / generic car terms,GENERAL INFORMATION
lower dash plastic,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
lock,keys & lock,SAFETY
digital climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
body roll,body class,EXTERIOR / STYLING / DESIGN
underfloor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
gear stuff,transmission,POWERTRAIN / PERFORMANCE
cars,generic description & miscellaneous,GENERAL INFORMATION
power plant,engine / power train,POWERTRAIN / PERFORMANCE
grips,traction / stability,HANDLING / DYNAMICS
petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
view out,visibility & view,SAFETY
silver screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
door close,doors,EXTERIOR / STYLING / DESIGN
braking,brake,HANDLING / DYNAMICS
launch control function,acceleration,POWERTRAIN / PERFORMANCE
small bump,road terrain,HANDLING / DYNAMICS
x two,model / generic car terms,GENERAL INFORMATION
experience in town (drive),drive,POWERTRAIN / PERFORMANCE
cruise control system,driver assistance,SAFETY
seat belt,seats,INTERIOR / COMFORT / ERGONOMICS
map lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
quattro drive system,drive,POWERTRAIN / PERFORMANCE
shapes around instrument,design,EMOTIONAL / SENSORY / VISUAL
amber lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
backup camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
coat hooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
front practicality,storage & utility,FUNCTIONAL / UTILITY FEATURES
traffic data,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
analog dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
two keys,keys & lock,SAFETY
x drive system,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
rear view mirror,visibility & view,SAFETY
one plastic,exterior materials & finish,EXTERIOR / STYLING / DESIGN
cupholders,storage & utility,FUNCTIONAL / UTILITY FEATURES
pedal configuration,physical controls,INTERIOR / COMFORT / ERGONOMICS
traction control system,traction / stability,HANDLING / DYNAMICS
sports mode,driving dynamics / handling,HANDLING / DYNAMICS
back seats,seats,INTERIOR / COMFORT / ERGONOMICS
g wagon,model / generic car terms,GENERAL INFORMATION
steering resistance,steering,HANDLING / DYNAMICS
functions,functionality & features,FUNCTIONAL / UTILITY FEATURES
cold weather,road terrain,HANDLING / DYNAMICS
modular system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
interior upgrades,interior,INTERIOR / COMFORT / ERGONOMICS
mmi interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
steering comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
ledge,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
bumpy road,road terrain,HANDLING / DYNAMICS
mountain road,road terrain,HANDLING / DYNAMICS
speed shift transmission,transmission,POWERTRAIN / PERFORMANCE
media centre,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
pricier versions,value / cost,DISTANCE / MEASUREMENT /  COST
fold down seats,seats,INTERIOR / COMFORT / ERGONOMICS
optional heads up displays,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
map,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
trim pieces,exterior materials & finish,EXTERIOR / STYLING / DESIGN
two axle air suspension,suspension,HANDLING / DYNAMICS
carbon ceramic discs,brake,HANDLING / DYNAMICS
driving in town,drive,POWERTRAIN / PERFORMANCE
upshifts,transmission,POWERTRAIN / PERFORMANCE
v8,engine / power train,POWERTRAIN / PERFORMANCE
headrest,seats,INTERIOR / COMFORT / ERGONOMICS
selector,physical controls,INTERIOR / COMFORT / ERGONOMICS
low speed manoeuvres,driving dynamics / handling,HANDLING / DYNAMICS
dry condition,road terrain,HANDLING / DYNAMICS
interior noise,interior,INTERIOR / COMFORT / ERGONOMICS
a3 gravitas,generic description & miscellaneous,GENERAL INFORMATION
s8,model / generic car terms,GENERAL INFORMATION
digital instruments,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
town traffic,road terrain,HANDLING / DYNAMICS
outward visibility,visibility & view,SAFETY
remote driving,drive,POWERTRAIN / PERFORMANCE
safety,safety,SAFETY
review,visibility & view,SAFETY
turning circle,cornering,HANDLING / DYNAMICS
first impression,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
front drive shafts,drive,POWERTRAIN / PERFORMANCE
sharp turn,cornering,HANDLING / DYNAMICS
long in the car,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
feedback,driving dynamics / handling,HANDLING / DYNAMICS
back windows,windows / glass,EXTERIOR / STYLING / DESIGN
momentum99 fuel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
mercedes sl,model / generic car terms,GENERAL INFORMATION
door mirrors,mirrors,SAFETY
large,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
driving dynamics,driving dynamics / handling,HANDLING / DYNAMICS
driver display panel,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
back space,passenger space,INTERIOR / COMFORT / ERGONOMICS
a4  g5 steering,steering,HANDLING / DYNAMICS
swerve control,traction / stability,HANDLING / DYNAMICS
rear pillars,chassis / structural,STRUCTURAL
ambience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
interiors,interior,INTERIOR / COMFORT / ERGONOMICS
automatic transmission,transmission,POWERTRAIN / PERFORMANCE
camber dirt road,road terrain,HANDLING / DYNAMICS
digital display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
panel,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
reversing assistant tech,driver assistance,SAFETY
damper control,suspension,HANDLING / DYNAMICS
second row seat,seats,INTERIOR / COMFORT / ERGONOMICS
build quality,build quality / construction,STRUCTURAL
a4  g5,model / generic car terms,GENERAL INFORMATION
bmw drivers,driver assistance,SAFETY
rear parking sensors,parking,FUNCTIONAL / UTILITY FEATURES
handle,doors,EXTERIOR / STYLING / DESIGN
standard frame,build quality / construction,STRUCTURAL
third row,passenger space,INTERIOR / COMFORT / ERGONOMICS
nap screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
baby seats,seats,INTERIOR / COMFORT / ERGONOMICS
boosting,engine / power train,POWERTRAIN / PERFORMANCE
foot down (acceleration),acceleration,POWERTRAIN / PERFORMANCE
voice commands,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
distracted driving,safety,SAFETY
bmw air intake,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
screens,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
head rest,seats,INTERIOR / COMFORT / ERGONOMICS
porsche 911,model / generic car terms,GENERAL INFORMATION
places in the front,passenger space,INTERIOR / COMFORT / ERGONOMICS
kilometres,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
hubs,wheels & tyres,HANDLING / DYNAMICS
engine start stop system,engine / power train,POWERTRAIN / PERFORMANCE
indicator lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
weight,weight,DISTANCE / MEASUREMENT /  COST
audi interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
rear,rear section,EXTERIOR / STYLING / DESIGN
steering wheel button,steering,HANDLING / DYNAMICS
price point,value / cost,DISTANCE / MEASUREMENT /  COST
top speed,acceleration,POWERTRAIN / PERFORMANCE
change mode controls,driving dynamics / handling,HANDLING / DYNAMICS
roof,roof,EXTERIOR / STYLING / DESIGN
pickup,acceleration,POWERTRAIN / PERFORMANCE
air 18,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
revs,engine / power train,POWERTRAIN / PERFORMANCE
round town,road terrain,HANDLING / DYNAMICS
drive itself,drive,POWERTRAIN / PERFORMANCE
roof up,roof,EXTERIOR / STYLING / DESIGN
window ledge,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
all controls,physical controls,INTERIOR / COMFORT / ERGONOMICS
headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
entertainment screen passenger view,visibility & view,SAFETY
parking,parking,FUNCTIONAL / UTILITY FEATURES
feet adjustment,seats,INTERIOR / COMFORT / ERGONOMICS
drive position,drive,POWERTRAIN / PERFORMANCE
colors,design,EMOTIONAL / SENSORY / VISUAL
aerodynamic,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
ports,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
volume control,audio,EMOTIONAL / SENSORY / VISUAL
engine response,engine / power train,POWERTRAIN / PERFORMANCE
manoeuvre,driving dynamics / handling,HANDLING / DYNAMICS
summer tires,wheels & tyres,HANDLING / DYNAMICS
porsche gearbox,transmission,POWERTRAIN / PERFORMANCE
gauges,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
doors open,doors,EXTERIOR / STYLING / DESIGN
comfort package,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
magnetic ride,drive,POWERTRAIN / PERFORMANCE
counter drive,drive,POWERTRAIN / PERFORMANCE
keys,keys & lock,SAFETY
tech,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
front wheel,wheels & tyres,HANDLING / DYNAMICS
pumps sound,audio,EMOTIONAL / SENSORY / VISUAL
auto-breaking,brake,HANDLING / DYNAMICS
works,functionality & features,FUNCTIONAL / UTILITY FEATURES
air,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
no rapid charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
grips in the corners,traction / stability,HANDLING / DYNAMICS
brakes,brake,HANDLING / DYNAMICS
steering rod,steering,HANDLING / DYNAMICS
adaptive steering,steering,HANDLING / DYNAMICS
soundtrack,audio,EMOTIONAL / SENSORY / VISUAL
executive tier,packages / trims / variants,GENERAL INFORMATION
tire change pot,wheels & tyres,HANDLING / DYNAMICS
front wheel drive version,drive,POWERTRAIN / PERFORMANCE
magic sky control,roof,EXTERIOR / STYLING / DESIGN
audi a3,model / generic car terms,GENERAL INFORMATION
rs lineage,model / generic car terms,GENERAL INFORMATION
dual clutch,transmission,POWERTRAIN / PERFORMANCE
agility,driving dynamics / handling,HANDLING / DYNAMICS
headroom backseat,passenger space,INTERIOR / COMFORT / ERGONOMICS
offroader,road terrain,HANDLING / DYNAMICS
roundabout,cornering,HANDLING / DYNAMICS
gear selector knob,transmission,POWERTRAIN / PERFORMANCE
parcel shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
driver involvement,drive,POWERTRAIN / PERFORMANCE
flipping down the second row seats,interior,INTERIOR / COMFORT / ERGONOMICS
van lock,keys & lock,SAFETY
automatic engine start stop system,engine / power train,POWERTRAIN / PERFORMANCE
massage programs,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
cabinets,storage & utility,FUNCTIONAL / UTILITY FEATURES
camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
ride quality,drive,POWERTRAIN / PERFORMANCE
wheelbase,chassis / structural,STRUCTURAL
key,keys & lock,SAFETY
practicalities,storage & utility,FUNCTIONAL / UTILITY FEATURES
adjustments,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
wet road,road terrain,HANDLING / DYNAMICS
lowering backseats,functionality & features,FUNCTIONAL / UTILITY FEATURES
back door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
headlight design,design,EMOTIONAL / SENSORY / VISUAL
base x1,model / generic car terms,GENERAL INFORMATION
headlight control,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
interior,interior,INTERIOR / COMFORT / ERGONOMICS
sun roof,roof,EXTERIOR / STYLING / DESIGN
backseat headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
carrying three in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
footroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
air suspension comfy setting,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
gi .a.,model / generic car terms,GENERAL INFORMATION
third row seat,seats,INTERIOR / COMFORT / ERGONOMICS
on road,road terrain,HANDLING / DYNAMICS
downshifts,transmission,POWERTRAIN / PERFORMANCE
cables,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
drive settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
loading things,boot / cargo,FUNCTIONAL / UTILITY FEATURES
storage by steering,storage & utility,FUNCTIONAL / UTILITY FEATURES
sport setting,driving dynamics / handling,HANDLING / DYNAMICS
handling limit,driving dynamics / handling,HANDLING / DYNAMICS
off ramp,road terrain,HANDLING / DYNAMICS
city driving,drive,POWERTRAIN / PERFORMANCE
electric assistant,driver assistance,SAFETY
result,performance,POWERTRAIN / PERFORMANCE
"30,000 miles",distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
turn in,cornering,HANDLING / DYNAMICS
displays,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
window down,windows / glass,EXTERIOR / STYLING / DESIGN
tt,model / generic car terms,GENERAL INFORMATION
transition,seats,INTERIOR / COMFORT / ERGONOMICS
navigation control,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
virtual cockpit instrument,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
bmw launch control,acceleration,POWERTRAIN / PERFORMANCE
side mirrors,mirrors,SAFETY
beams,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
q a8,model / generic car terms,GENERAL INFORMATION
back features,functionality & features,FUNCTIONAL / UTILITY FEATURES
advantages,functionality & features,FUNCTIONAL / UTILITY FEATURES
systems,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
proposition,seats,INTERIOR / COMFORT / ERGONOMICS
power liftgate,engine / power train,POWERTRAIN / PERFORMANCE
corner grip,traction / stability,HANDLING / DYNAMICS
vision,visibility & view,SAFETY
sport plus mode,driving dynamics / handling,HANDLING / DYNAMICS
rear armrest,seats,INTERIOR / COMFORT / ERGONOMICS
handling balance,traction / stability,HANDLING / DYNAMICS
steering sport,steering,HANDLING / DYNAMICS
front bumpers,bumper,EXTERIOR / STYLING / DESIGN
gearbox manual mode,transmission,POWERTRAIN / PERFORMANCE
most plastics,exterior materials & finish,EXTERIOR / STYLING / DESIGN
engine versions,engine / power train,POWERTRAIN / PERFORMANCE
engine turn off,engine / power train,POWERTRAIN / PERFORMANCE
lumbar support,seats,INTERIOR / COMFORT / ERGONOMICS
brake temperature,brake,HANDLING / DYNAMICS
backseat for people over 6 4,passenger space,INTERIOR / COMFORT / ERGONOMICS
gear shifts,transmission,POWERTRAIN / PERFORMANCE
doors,doors,EXTERIOR / STYLING / DESIGN
seats,seats,INTERIOR / COMFORT / ERGONOMICS
sightlines,visibility & view,SAFETY
rear balance,traction / stability,HANDLING / DYNAMICS
window line,windows / glass,EXTERIOR / STYLING / DESIGN
boot section,boot / cargo,FUNCTIONAL / UTILITY FEATURES
gearbox response,transmission,POWERTRAIN / PERFORMANCE
windscreen map,windscreen / wipers,SAFETY
fit,build quality / construction,STRUCTURAL
load area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
suspension settings,suspension,HANDLING / DYNAMICS
alexis i,model / generic car terms,GENERAL INFORMATION
back shape,boot / cargo,FUNCTIONAL / UTILITY FEATURES
convertibles,body type,EXTERIOR / STYLING / DESIGN
amg gt,model / generic car terms,GENERAL INFORMATION
sport mode steering,steering,HANDLING / DYNAMICS
climate controls,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
screen clarity,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
steering buttons,steering,HANDLING / DYNAMICS
turns,cornering,HANDLING / DYNAMICS
pockets,storage & utility,FUNCTIONAL / UTILITY FEATURES
tailgate opening,doors,EXTERIOR / STYLING / DESIGN
g l a4,model / generic car terms,GENERAL INFORMATION
cruise control,driver assistance,SAFETY
soundproofing,roof,EXTERIOR / STYLING / DESIGN
two litre diesel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
bmw 7 60 li,model / generic car terms,GENERAL INFORMATION
general qualities,quality & durability,GENERAL INFORMATION
boot lid,boot / cargo,FUNCTIONAL / UTILITY FEATURES
design feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
frontal progressions,front section,EXTERIOR / STYLING / DESIGN
kit,options & specifications,GENERAL INFORMATION
body shell,body class,EXTERIOR / STYLING / DESIGN
power buildup,performance,POWERTRAIN / PERFORMANCE
height,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
all wheel drive,drive,POWERTRAIN / PERFORMANCE
optional surrounding cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
engine,engine / power train,POWERTRAIN / PERFORMANCE
pulses,audio,EMOTIONAL / SENSORY / VISUAL
tyre roll,wheels & tyres,HANDLING / DYNAMICS
new m3,model / generic car terms,GENERAL INFORMATION
seven series,model / generic car terms,GENERAL INFORMATION
petrol charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
quick charge system,fuel / energy / charging,POWERTRAIN / PERFORMANCE
airflow,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
infotainment platform,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
noise,audio,EMOTIONAL / SENSORY / VISUAL
deals,value / cost,DISTANCE / MEASUREMENT /  COST
under the car,chassis / structural,STRUCTURAL
